block_height,block_voting_power,nc_number_of_validators,nc_cumulative_validator_vp_percentage,tt_number_of_validators,tt_cumulative_validator_vp_percentage
1,29566.0,6,35.625380504633696,16,69.60698099167963
2000000,14758369.0,2,47.15180247898667,4,72.71773730552475
4320000,59231143.0,2,40.59332604808926,6,67.21800894505785
6900000,81254125.0,2,38.92840025044882,8,69.78209290912923
9500000,102165588.0,2,36.28730448847414,8,68.38656280234005
11760000,118403765.0,3,38.03910627335203,10,67.60775132446167
14160000,149387985.0,4,34.647971187241055,15,66.82529455096406
16600000,178729098.0,4,38.41125858532559,14,66.85766186768312
19000000,208408502.0,4,36.30871930551087,15,66.92481144555225
21250000,225381048.0,4,35.917530652355474,15,68.24973145035692
23700000,243684192.0,4,36.29577375294003,14,67.11016076085886
26200000,236464595.0,4,36.30720150727004,15,67.96118082709168
28700000,237459593.0,4,35.218304277982995,16,67.44830056202444
